DATE,SPX,IBM,DTB3
12/28/2015,2056.5,133.19,0.23
12/29/2015,2078.36,135.29,0.23
12/30/2015,2063.36,134.87,0.21
12/31/2015,2043.94,133.2,0.16
01/04/2016,2012.66,131.59,0.22
01/05/2016,2016.71,131.49,0.2
01/06/2016,1990.26,130.83,0.21
01/07/2016,1943.09,128.6,0.2
01/08/2016,1922.03,127.41,0.2
01/11/2016,1923.67,128.95,0.21
01/12/2016,1938.68,128.63,0.21
1/13/2016,1890.28,126.96,0.22
1/14/2016,1921.84,128.64,0.25
1/15/2016,1880.33,125.86,0.23
1/19/2016,1881.33,124,0.26
1/20/2016,1859.33,117.95,0.26
1/21/2016,1868.99,118.97,0.28
1/22/2016,1906.9,118.57,0.3
1/25/2016,1877.08,118.16,0.31
1/26/2016,1903.63,118.66,0.31
1/27/2016,1882.95,117.08,0.32
1/28/2016,1893.36,118.3,0.34
1/29/2016,1940.24,120.79,0.32
02/01/2016,1939.38,120.82,0.35
02/02/2016,1903.03,118.99,0.34
02/03/2016,1912.53,120.72,0.33
02/04/2016,1915.45,123.55,0.29
02/05/2016,1880.05,124.44,0.29
02/08/2016,1853.44,122.9,0.32
02/09/2016,1852.21,120.09,0.3
02/10/2016,1851.86,116.33,0.31
02/11/2016,1829.08,114.07,0.28
02/12/2016,1864.78,117.16,0.29
2/16/2016,1895.58,118.8,0.3
2/17/2016,1926.82,122.05,0.3
2/18/2016,1917.83,128.2,0.3
2/19/2016,1917.78,128.81,0.3
2/22/2016,1945.5,129.48,0.33
2/23/2016,1921.27,128.15,0.32
2/24/2016,1929.8,128.54,0.33
2/25/2016,1951.7,130.18,0.32
2/26/2016,1948.05,127.79,0.32
2/29/2016,1932.23,126.82,0.33
03/01/2016,1978.35,130.06,0.33
03/02/2016,1986.45,131.93,0.35
03/03/2016,1993.4,133.38,0.27
03/04/2016,1999.99,133.38,0.28
03/07/2016,2001.76,135.65,0.32
03/08/2016,1979.26,134.61,0.29
03/09/2016,1989.26,135.9,0.3
03/10/2016,1989.57,135.69,0.31
03/11/2016,2022.19,137.79,0.32
3/14/2016,2019.64,138.2,0.34
3/15/2016,2015.93,138.37,0.34
3/16/2016,2027.22,140.14,0.31
3/17/2016,2040.59,142.32,0.29
3/18/2016,2049.58,142.37,0.29
3/21/2016,2051.6,143.86,0.31
3/22/2016,2049.8,143.35,0.3
3/23/2016,2036.71,140.73,0.3
3/24/2016,2035.94,143.2,0.29
3/28/2016,2037.05,143.64,0.29
3/29/2016,2055.01,144.54,0.23
3/30/2016,2063.95,143.65,0.2
3/31/2016,2059.74,146.59,0.21
04/01/2016,2072.78,147.63,0.23
04/04/2016,2066.13,147.19,0.23
04/05/2016,2045.17,145.19,0.23
04/06/2016,2066.66,145.21,0.23
04/07/2016,2041.91,143.49,0.23
04/08/2016,2047.6,144.56,0.23
04/11/2016,2041.99,144.46,0.23
04/12/2016,2061.72,144.83,0.22
4/13/2016,2082.42,146.38,0.23
4/14/2016,2082.78,146.31,0.22
4/15/2016,2080.73,146.85,0.22
4/18/2016,2094.34,147.63,0.22
4/19/2016,2100.8,139.38,0.21
4/20/2016,2102.4,141.42,0.23
4/21/2016,2091.48,144.51,0.23
4/22/2016,2091.58,143.73,0.23
4/25/2016,2087.79,144.03,0.25
4/26/2016,2091.7,144.3,0.24
4/27/2016,2095.15,145.64,0.24
4/28/2016,2075.81,142.35,0.22
4/29/2016,2065.3,141.26,0.22
05/02/2016,2081.43,140.61,0.22
05/03/2016,2063.37,139.5,0.21
05/04/2016,2051.12,139.62,0.19
05/05/2016,2050.63,141.77,0.2
05/06/2016,2057.14,142.56,0.19
